Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (hours),Apple Stand Time (min),Cardio Recovery (count/min),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min)),N - Apple Exercise Time (min),N - Active Energy (kcal),N - VO2 Max (ml/(kg·min)),N - Heart Rate Variability (ms),N - Apple Stand Time (min),N - Sleep Analysis [Total] (hr),N - Sleep Analysis [Core] (hr),N - Sleep Analysis [Deep] (hr),N - Sleep Analysis [REM] (hr),N - Heart Rate [Min] (bpm),N - Respiratory Rate (count/min),Health Score
2025-04-22,652.18,17.0,15.0,111.0,,53.0,133.0,70.11,50.81,17.17,7.508333333333332,0.0,4.949999999999999,1.0416666666666663,1.5166666666666666,0.1666666666666666,42.43,0.08720930232558138,0.3025484345530554,0.10985029154966976,0.1875511875511876,0.24136321195144728,0.5654558932542624,0.9358669833729211,0.5146198830409354,0.35104197240974483,0.19406171162429645,0.22226762002042794,0.314340553468878
2025-04-23,1052.0,61.0,16.0,101.0,34.69,49.0,165.0,85.59,66.29,17.55,7.15,0.0,4.258333333333334,1.175,1.7166666666666668,0.3,41.8,0.7267441860465115,0.7022719013358274,0.01380616372430797,0.6571116571116574,0.1946778711484594,0.437954040029652,0.5774130857266251,0.7017543859649128,0.4919283827414151,0.5821851348728894,0.06700715015321677,0.42291584183828485
2025-04-24,663.64,14.0,15.0,163.0,,45.0,117.0,66.08,65.54,15.95,7.516666666666667,0.0,5.066666666666666,0.75,1.7,0.125,47.00146705363891,0.04360465116279069,0.314005667631267,0.8067749995641522,0.6343616343616346,0.4841269841269842,0.5684210526315794,0.9963290865903689,0.10526315789473686,0.48018784854710916,0.9703085581214822,0.7207354443309503,0.627682750010158
2025-04-25,735.01,20.0,18.0,280.0,,46.0,141.0,76.9,57.51,15.19,6.45,0.0,4.316666666666666,1.0583333333333331,1.0750000000000002,0.0916666666666666,50.76066052240392,0.13081395348837208,0.38535843593772107,1.0,0.3907847241180574,1.0,0.18888065233506307,0.6076441373353486,0.5380116959064328,0.03991781626064002,0.873277702309334,1.0,0.6527673729836394
2025-04-26,569.87,10.0,15.0,150.0,,49.0,114.0,69.78,51.06,14.91,6.041666666666666,0.0,4.208333333333333,0.8666666666666667,0.9666666666666668,0.1083333333333333,46.99224780504938,0.0,0.22025830761871007,0.8053695159292527,0.19513452846786183,0.42343604108309996,0.0435878428465526,0.5515007557762901,0.2690058479532166,0.0,0.5821851348728894,1.0,0.46533555388630043
2025-04-27,514.85,9.0,14.0,118.0,,50.0,107.0,63.99,63.92,15.8,7.7666666666666675,0.0,5.075,1.0083333333333333,1.6833333333333331,0.0333333333333333,45.95389830463451,0.0,0.16525159174059464,0.647072099825687,0.5852215852215853,0.2740429505135388,0.6573758339510757,1.0,0.46783625730994177,0.4684473143528032,0.4851542790607411,0.7820224719101121,0.5400249784332006
2025-04-28,453.51,6.0,15.0,62.0,,47.0,101.0,59.61,64.97,15.66,6.775,0.0,4.108333333333333,0.775,1.8916666666666664,0.45,43.95665619694943,0.0,0.10392640177397156,0.3425905501610846,0.6170716170716172,0.012605042016806737,0.304521868050408,0.4996760958756209,0.14035087719298253,0.6152039917816262,0.7762468464971858,0.839223697650664,0.40868297763164363
2025-04-29,1234.0,88.0,13.0,164.0,30.37,46.0,170.0,90.31,46.58,16.34,8.041666666666668,0.0,3.366666666666667,1.5916666666666668,3.083333333333333,0.0,43.06,1.0,0.8842279589479141,0.20589441937503156,0.05924105924105913,0.48879551820728295,0.7552260934025214,0.1153098682789899,1.0,1.0,0.873277702309334,0.5613891726251277,0.5413998962105039
2025-04-30,597.07,18.0,14.0,122.0,,47.0,120.0,63.94,93.36,16.74,7.625,0.0,4.75,0.95,1.925,0.1166666666666666,45.75404686951323,0.10174418604651161,0.2474517404046923,0.6166045493798622,1.0,0.2927170868347339,0.6069681245366944,0.8322176635715827,0.3859649122807019,0.6386850601702382,0.7762468464971858,0.397957099080695,0.5891140559534118
2025-05-01,527.25,5.0,10.0,74.0,,48.0,115.0,66.78,60.14,15.91,6.916666666666666,0.0,4.258333333333333,0.9916666666666666,1.6666666666666663,0.025,44.68676940473383,0.0,0.17764859786361592,0.45389703628081385,0.47056147056147063,0.06862745098039218,0.3549295774647887,0.5774130857266246,0.4444444444444446,0.45670678015849725,0.6792159906850376,0.7370786516853932,0.4432410310406426
2025-05-02,506.98,31.0,12.0,138.0,,47.06,146.0,78.03,63.01,15.39,8.091666666666667,0.0,4.875,1.3166666666666664,1.9,0.075,46.57222481212035,0.2906976744186046,0.15738349188670936,0.741336592084068,0.5576182242848909,0.3674136321195145,0.7730170496664203,0.8969984884474194,0.9005847953216377,0.6210742588787793,0.7704249951484566,0.9495403472931563,0.6494594469827755
